Date,Open,High,Low,Close,Adj Close,Volume
2018-05-28,19.200001,19.200001,16.910000,16.910000,16.255060,134504900
2018-05-29,18.000000,19.440001,17.600000,19.299999,18.552492,181509800
2018-05-30,18.389999,19.969999,18.129999,18.980000,18.244886,125430000
2018-06-01,19.559999,19.750000,14.900000,16.160000,15.534108,216954700
2018-06-04,17.290001,17.639999,17.049999,17.530001,16.851048,93547600
2018-06-05,17.360001,17.799999,16.590000,16.590000,15.947453,67006400
2018-06-06,16.469999,16.680000,15.870000,16.330000,15.697525,69496800
2018-06-07,16.000000,16.160000,14.930000,15.760000,15.149601,118752700
2018-06-08,15.810000,16.190001,15.060000,15.250000,14.659352,91461500
2018-06-11,15.500000,15.800000,15.130000,15.410000,14.813156,44872500
2018-06-12,15.480000,15.680000,15.240000,15.460000,14.861220,69592600
2018-06-13,15.420000,15.500000,14.740000,15.170000,14.582452,72301200
2018-06-14,15.330000,15.550000,15.050000,15.100000,14.515163,57324600
2018-06-15,15.030000,15.070000,14.470000,14.970000,14.390198,75239300
2018-06-18,14.770000,14.890000,14.500000,14.500000,13.938401,47363800
2018-06-19,14.260000,15.720000,14.170000,15.420000,14.822769,97301500
2018-06-20,15.840000,16.480000,15.800000,16.209999,15.582171,88397300
2018-06-21,16.090000,16.320000,15.100000,15.100000,14.515163,67884300
2018-06-22,15.410000,15.680000,15.010000,15.110000,14.524776,52184500
